b1,fraction_in_loops,number_of_loops,largest_component_size,number_of_components,no_cycles,one_cycle,many_cycles,degree_1,degree_2,degree_3,x_axis
0.001,0.9550793650793649,15.2,1.0,1.0,0.0,0.0,1.0,0.04214285714285714,0.10765639589169,0.8502007469654528,100.0
0.1,0.09347428221944028,1.0,0.5190563545725585,9.1,0.5427500431421585,0.3650930941127434,0.09215686274509803,0.5494166998027998,0.17312621641231657,0.27745708378488365,1.0
1.0,0.0,0.0,0.06365018043437425,37.1,1.0,0.0,0.0,0.8836048134401538,0.08263995174093194,0.03375523481891426,0.1
50.0,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.002
100.0,0.0,0.0,0.030333951762523192,48.9,1.0,0.0,0.0,0.9888682745825601,0.011131725417439701,0.0,0.001
500.0,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.0002
1000.0,0.0,0.0,0.030303030303030297,49.0,1.0,0.0,0.0,0.9898989898989898,0.0101010101010101,0.0,0.0001
